clientnum,total_relationship_count,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_ct_chng_q4_q1,total_trans_ct
773448558,6,2292,0.637,1257,0.545,34
773442258,5,1616,0.6,1397,0.647,28
773389908,5,0,0.79,2075,0.692,66
773383158,4,0,1.033,2743,0.769,69
773373108,4,2070,0.541,1025,0.647,28
773364483,4,1298,0.757,1906,0.773,39
773356008,2,1200,0.798,7960,0.458,86
773342808,6,1793,0.681,5084,0.717,79
773332908,3,1900,0.806,4221,0.766,83
773322558,6,1566,0.533,3964,0.5,69
773306658,4,1230,0.883,15678,0.717,103
773297508,3,1999,1.013,1544,0.714,36
773288958,6,1473,0.775,1592,0.429,30
773283108,1,1722,0.856,15738,0.657,116
773275083,2,966,0.777,4765,0.646,79
773270058,4,0,0.521,1337,0.588,27
773257233,4,1457,0.553,3534,0.591,70
773236983,4,2258,0.992,1839,0.706,29
773228133,3,0,0.869,2437,0.708,41
773185833,3,0,0.838,15095,0.759,102
773177358,1,2426,0.72,5372,0.788,93
773172483,6,0,0.776,7463,0.707,70
773155533,5,814,0.85,4739,0.712,89
773146383,3,2517,1.449,1756,1.2,33
773140683,4,1202,0.695,4191,0.757,65
773108958,4,2138,0.565,4439,0.875,75
773082033,3,1363,1.172,2317,0.727,38
773073558,6,896,0.692,1731,0.5,54
773018583,5,2216,0.741,4717,0.562,75
772935108,3,802,0.899,1823,0.8,27
772922883,3,0,0.547,1874,0.615,42
772879158,4,1069,0.77,3943,0.641,64
772869033,2,1342,0.69,7283,0.648,89
772857558,4,896,0.68,4618,0.516,94
772846383,3,1480,0.588,4787,0.679,89
772837083,2,0,0.781,3906,0.977,87
772825308,4,1509,0.803,4231,0.714,60
772813458,3,1741,0.578,4264,0.658,63
772794108,5,651,0.825,3165,0.585,65
772782708,5,1688,0.765,1721,0.75,56
772776033,3,1874,0.699,2249,1.35,47
772758783,5,735,0.624,3343,0.667,60
772735758,6,1895,0.387,1366,0.632,31
772728933,6,813,0.65,2511,0.6,40
772725408,2,2517,0.777,7667,0.527,84
772721208,4,1720,0.706,16293,0.739,120
772712658,5,1648,1.227,2058,0.789,34
772706283,3,1579,0.996,1585,0.72,43
772698783,3,1549,0.643,13988,0.771,124
772695033,3,2517,0.482,1575,0.211,23
772687983,5,1498,0.922,4811,0.556,56
772684833,3,2035,1.119,1761,0.909,42
772674933,5,808,0.781,2036,0.613,50
772669833,4,0,0.558,3048,0.75,70
772661808,2,2055,0.703,5051,0.66,83
772658658,6,0,0.735,4439,0.54,77
772655733,6,1887,0.592,4489,0.744,75
772643058,6,1834,0.615,1571,0.636,36
772640808,2,1366,0.776,14730,0.735,118
772637058,3,1740,1.455,2141,0.7,51
772629333,5,1200,0.597,1313,0.304,30
772607433,6,2016,0.313,4107,0.639,59
772601283,6,1992,0.759,2514,0.684,32
772596783,3,1109,0.655,15442,0.761,125
772590408,3,1379,0.676,3964,0.837,90
772585008,2,1937,0.77,5111,0.667,90
772580958,3,2138,0.699,4930,0.739,80
772578858,3,2203,0.796,3848,0.692,66
772574283,3,0,0.565,1654,0.579,30
772571508,4,0,0.696,2311,0.654,43
772569033,5,1236,0.848,4572,0.8,90
772565883,3,2517,0.633,4719,0.667,70
772545858,4,0,0.729,3808,0.508,89
772539558,3,0,0.579,4623,0.548,65
772532208,2,916,0.927,842,0.5,24
772528158,4,0,0.84,2546,0.4,42
772525308,5,1689,0.359,3651,0.605,69
772514808,3,2379,0.748,2315,0.853,63
772506858,3,2517,0.625,4552,0.588,81
772491333,2,2005,0.682,14738,0.709,94
772472208,6,996,0.644,2298,0.655,48
772468983,3,1291,0.864,1946,0.542,37
772466508,6,2517,0.569,2030,0.452,45
772460508,3,1530,0.518,1231,0.214,34
772457583,3,1204,0.538,5385,0.691,93
772452783,6,1640,0.719,1774,1,46
772449858,5,1388,0.909,3849,0.591,70
772442883,2,696,0.882,2443,0.583,38
772437633,4,0,0.703,4578,0.756,72
772430733,1,1440,0.676,7168,0.571,88
772426383,5,1570,1.077,1130,1.333,28
772415808,3,716,0.949,4219,0.592,78
772409733,4,2307,0.901,4742,0.698,90
772407333,5,0,0.329,1730,0.364,30
772404633,1,1118,0.671,7734,0.609,74
772401933,3,0,0.946,3569,0.771,62
772399983,3,1433,0.728,1966,0.55,31
772394883,3,0,0.768,2869,0.433,43
772390908,2,1054,0.616,687,0.545,17
772388508,2,1349,0.531,5028,0.702,80
772382283,3,1593,0.671,2689,0.324,49
772375533,5,2377,1.1,1560,0.696,39
772366833,3,1851,0.703,15476,0.857,117
772364358,1,811,0.767,4413,0.633,80
772360683,3,2517,0.735,1515,0.714,36
772353408,4,1161,0.558,1441,0.387,43
772346358,2,0,0.516,5047,0.756,79
772341783,3,2517,0.597,1801,0.548,48
772339383,2,1290,0.86,13787,0.571,121
772336458,4,1025,0.838,702,0.714,12
772334133,2,0,0.709,4583,0.911,86
772329183,4,1081,0.568,3481,0.625,78
772323033,3,1556,0.676,4363,0.66,78
772313358,3,2216,0.921,8693,0.569,91
772310958,4,822,0.722,4965,0.541,94
772308408,6,785,0.543,906,1.2,22
772306383,5,0,0.602,2299,0.312,42
772303458,3,948,0.461,1407,0.467,44
772300383,3,1533,0.654,13420,0.743,122
772292358,4,0,0.776,1284,0.429,30
772288758,4,1228,0.728,1343,1.308,30
772286658,6,2507,0.433,2083,0.647,56
772277508,4,0,1.299,3292,0.857,52
772273983,1,2191,0.622,2138,0.429,40
772271508,2,0,0.726,2320,0.448,42
772268058,5,1473,0.737,3129,0.683,69
772264383,4,0,1.058,1385,0.515,50
772248408,5,1833,1.044,3366,1.074,56
772243833,4,968,0.696,4077,0.63,75
772236108,5,1892,0.861,1489,0.526,29
772231233,6,721,0.769,4250,0.889,85
772220433,6,1187,0.93,4484,0.841,81
772216833,1,1950,0.582,4510,0.66,88
772207683,1,1518,0.726,14459,0.702,97
772204758,3,1165,0.634,2306,0.643,46
772202058,3,1647,0.664,1597,0.542,37
772198983,3,1649,0.587,4463,0.679,89
772189308,5,1888,0.773,4899,0.771,62
772177308,4,0,1.124,2572,0.938,62
772172883,6,1349,0.971,4893,0.824,93
772166058,1,1564,0.969,13142,0.75,112
772162683,6,0,0.698,2768,0.667,45
772155108,6,0,0.702,1445,0.31,38
772150983,4,978,0.662,2635,0.538,40
772148058,6,759,0.892,2755,0.559,53
772145658,4,2036,0.7,1394,0.75,28
772143333,6,1498,0.64,4569,0.881,79
772139433,4,1240,0.856,1637,0.906,61
772137183,1,810,0.643,1822,0.5,36
772133808,6,1059,0.78,4342,0.771,62
772127508,6,0,0.706,2614,0.531,49
772118583,6,1590,0.806,4596,0.574,85
772116408,4,1029,0.675,2377,0.75,56
772111083,3,1396,0.756,4338,0.829,75
772105608,6,872,0.865,4246,0.739,80
772103208,4,0,0.882,3534,0.902,78
772098858,1,1333,0.692,7736,0.68,84
772095858,4,1246,1.055,3929,0.737,66
772086408,4,943,0.484,1527,0.207,35
772082208,4,0,0.771,4254,0.673,82
772076208,6,1146,0.476,3677,0.892,70
772073508,5,0,0.824,2740,0.343,47
772069683,3,1384,0.631,4716,0.549,79
772063308,5,0,0.682,4155,0.795,79
772054458,4,1944,0.881,4025,0.585,65
772051308,6,1823,0.574,3853,0.683,69
772047183,6,1766,0.828,1353,1.182,24
772036233,6,0,0.583,4320,0.674,72
772031733,5,690,1.32,2603,0.806,56
772000533,4,1113,0.406,1809,0.278,23
771989733,4,1449,0.712,4413,0.548,65
771982083,3,1144,0.709,14418,0.677,104
771976683,3,2130,0.687,1640,0.333,44
771963708,5,0,0.894,767,0.562,25
771960708,3,2461,0.797,3591,0.739,80
771952683,3,0,1.222,3847,0.658,63
771942333,5,1309,0.574,3855,0.703,63
771935283,1,1927,0.731,5217,0.725,88
771928608,6,1832,0.938,4110,0.947,74
771922008,5,1889,0.421,4416,0.6,64
771918033,3,1256,0.814,4824,0.627,83
771912408,3,1402,0.695,7468,0.614,92
771907158,1,1903,0.915,4667,0.725,88
771903033,5,1247,0.962,2017,0.6,40
771899433,5,2434,0.406,1263,0.35,27
771894558,4,1559,1.873,1626,0.786,25
771886233,6,1090,0.819,1941,1.318,51
771881283,3,1892,0.748,4036,0.773,78
771872733,5,1521,0.692,4666,0.865,69
771869508,4,831,0.602,4924,0.884,81
771865908,4,487,0.772,2532,0.548,48
771862308,4,2007,0.727,4916,0.642,87
771854808,6,1868,0.533,3915,0.65,66
771852483,6,0,1.019,3343,0.638,77
771844458,6,1657,1.038,1804,0.864,41
771833433,3,0,0.519,2063,0.846,48
771829758,6,1345,0.603,2143,0.586,46
771823308,5,986,0.896,1896,0.833,33
771819258,4,0,0.671,4561,0.907,82
771816408,5,704,0.699,2955,0.941,66
771809733,1,0,1.021,960,0.385,18
771799008,3,1405,0.684,4871,0.975,79
771795933,3,2517,0.7,2376,0.486,55
771790083,4,2080,0.648,4116,0.684,64
771783333,6,0,0.652,2379,0.781,57
771776808,5,0,0.531,1877,0.462,38
771772083,2,0,0.681,8424,0.787,84
771769383,2,0,0.962,14792,0.875,120
771756333,5,1794,0.794,2154,0.542,37
771752508,1,1844,1.018,8571,0.647,84
771749733,5,1081,1.087,3680,0.723,81
771742533,5,1718,0.607,937,0.556,28
771735933,2,1722,0.7,4731,0.783,82
771733608,3,0,0.809,2276,0.538,40
771730758,4,0,1.011,4443,1.083,75
771725808,5,769,0.901,3395,0.578,71
771723408,3,0,0.69,2645,0.622,60
771719283,2,1324,0.897,8854,0.643,92
771706308,4,694,0.558,1254,0.478,34
771698658,4,2006,0.619,1302,0.8,27
771693933,6,1977,0.431,1757,0.833,33
771688983,4,1811,0.68,4201,1.125,68
771682533,4,0,0.773,3928,0.744,75
771674958,1,1823,0.727,8135,0.702,97
771669183,5,1212,0.308,3651,0.556,70
771666783,5,1136,0.817,4883,0.581,68
771653583,3,1147,1.042,1276,1.083,25
771649083,3,1021,0.467,1508,0.429,30
771638733,5,0,0.738,2750,0.686,59
771630783,1,935,0.781,4786,0.776,87
771626283,1,1996,0.988,15033,0.81,114
771617883,1,1313,0.929,4904,0.673,82
771602883,4,1719,0.875,1776,0.571,44
771599283,3,1668,0.651,1606,0.882,32
771594783,2,0,0.859,2264,0.423,37
771592458,6,1059,0.764,4880,0.795,79
771584658,1,1473,0.803,13753,0.849,98
771575058,4,1795,0.645,3172,0.719,55
771566208,3,1318,0.563,4681,0.682,74
771561183,6,2517,0.652,7464,0.692,66
771559158,3,1163,0.917,4769,0.905,80
771556308,6,1195,0.556,2255,0.5,48
771546708,2,0,0.74,5013,1.025,81
771544533,3,0,0.759,1015,0.44,36
771534408,4,2379,0.912,3897,1,74
771531708,6,887,0.81,4683,0.642,87
771529608,5,1027,0.925,4538,0.658,63
771527508,3,1145,0.749,3488,0.535,66
771518658,5,1339,0.79,4553,0.731,90
771516333,6,0,0.892,3831,0.761,81
771507258,1,1175,0.734,14474,0.71,118
771503958,5,1265,0.579,4089,0.674,72
771502383,3,1539,0.649,4884,0.509,80
771500358,5,1313,0.671,4093,0.826,84
771499233,6,1133,0.652,4374,0.49,76
771497283,4,1310,0.757,4736,0.795,79
771492408,3,1747,0.691,1346,1.308,30
771490833,5,1227,0.624,1140,0.6,40
771488583,4,0,0.706,4186,0.636,72
771486933,5,2242,1.114,3942,0.826,84
771484908,1,1984,0.757,14969,0.811,96
771474108,3,1019,0.692,4455,0.658,63
771471708,2,1776,0.973,5097,0.833,77
771469758,5,0,0.813,4131,0.61,66
771464808,6,1301,0.925,4161,1.219,71
771460158,3,1776,0.673,3939,0.647,84
771455508,5,0,0.653,4104,0.729,83
771453033,5,1280,1.314,3170,0.629,57
771450708,5,1913,0.591,4363,0.973,73
771441558,5,1589,0.982,2073,0.516,47
771433608,5,0,0.621,4053,0.556,70
771431133,4,0,0.571,3778,0.816,69
771429408,5,668,0.552,1515,0.476,31
771424908,2,1129,0.462,1766,0.476,31
771422883,1,186,0.756,2705,0.522,35
771420708,3,621,0.826,4860,0.7,68
771411408,2,0,1.043,4929,0.459,54
771408483,4,1956,0.617,3584,0.743,61
771403008,4,0,0.829,4409,0.974,75
771400608,2,1375,0.915,4727,0.949,76
771359958,6,2517,0.887,1689,1.1,42
771356508,2,1936,0.757,4500,0.972,71
771354633,5,1480,0.853,3292,0.921,73
771349458,4,1792,0.904,1914,0.769,46
771342183,6,0,0.689,2314,0.433,43
771338658,6,915,0.892,4277,0.854,89
771336783,1,1345,0.61,4351,0.688,81
771335358,3,2098,0.826,3161,0.688,54
771332283,5,2517,0.775,5056,0.778,80
771330558,5,1824,0.736,1267,0.55,31
771304383,1,2507,0.832,7905,0.755,86
771292233,1,813,1.149,15867,1.06,103
771288258,6,1894,0.911,4660,0.789,68
771284658,6,896,0.724,2613,0.708,41
771246708,5,2297,0.516,4371,0.64,82
771244383,1,0,0.719,14289,0.638,113
771237933,4,1085,1.276,1477,0.533,23
771234558,6,0,0.847,2213,0.771,62
771232533,3,1283,0.761,4249,0.8,81
771230508,4,429,0.625,4717,0.739,80
771228183,4,0,1.177,3294,0.891,87
771224358,3,0,0.823,4030,0.733,78
771222558,6,2018,0.705,4467,0.756,79
771220758,1,2100,0.728,4614,0.694,83
771219033,4,1979,0.447,4199,0.659,73
771217758,3,2028,0.658,16920,0.606,114
771215583,6,1475,0.528,3505,0.935,60
771214083,1,0,0.761,4891,0.806,65
771212508,6,1270,0.913,2825,0.824,93
771204108,3,1179,0.867,3896,0.718,67
771201408,3,2126,0.69,5299,0.875,75
771197433,3,588,0.856,1351,1.5,30
771196083,6,0,0.922,1837,0.682,37
771190083,6,1705,0.798,2505,0.568,69
771183933,6,1220,0.862,1923,0.4,49
771180033,6,1851,2.023,1814,0.722,31
771169458,5,1470,1.226,1723,1.25,36
771163533,3,635,0.744,4617,0.927,79
771108933,5,879,0.536,4385,0.614,71
771106458,1,1313,0.689,4609,0.794,61
771099183,5,1945,0.703,2497,0.609,74
771097683,1,2517,1.028,4935,0.487,58
771092433,4,0,0.936,4434,0.811,67
771086208,3,1530,0.647,1629,0.344,43
771081558,3,1190,0.832,2862,0.733,78
771079833,3,0,0.845,4332,0.696,78
771075258,2,1527,0.526,1268,0.355,42
771073908,4,0,0.425,1406,0.5,27
771071958,6,1669,0.797,1051,0.833,22
771069033,2,1083,0.656,14084,0.75,91
771067308,1,1908,0.758,5616,0.659,73
771062733,1,1285,0.846,15511,0.629,101
771061008,4,0,0.695,2659,0.806,56
771058908,3,2455,1,4563,0.756,72
771051783,6,741,0.885,1297,1.182,24
771045708,2,970,0.864,2801,1.217,51
771040758,5,0,0.777,3703,0.492,91
771037008,3,0,0.917,4245,1,76
771032658,3,1569,0.482,1604,0.444,39
771028533,5,0,0.506,911,0.19,25
771020133,3,1776,0.79,4440,0.756,79
770985633,6,2027,0.898,1980,0.68,42
770977833,2,0,0.813,16500,0.729,102
770975133,5,1854,0.712,4382,0.542,74
770970558,1,2267,1.232,15180,0.689,103
770968383,3,825,0.616,2022,0.733,52
770956158,3,2151,0.839,4140,0.744,68
770952933,4,1938,0.597,1616,0.682,37
770942283,4,0,0.797,4811,0.889,68
770938533,3,1370,0.954,3914,0.667,70
770937183,3,2084,0.847,3502,0.933,87
770929383,2,993,0.507,4828,0.64,82
770926158,2,2517,0.786,13820,0.697,129
770920908,1,1146,0.842,8055,0.673,82
770917608,3,1911,0.774,4656,0.879,62
770909433,6,1904,0.72,4946,0.531,75
770901258,3,810,1.294,2558,0.571,44
770882508,4,773,1.238,2457,1,54
770878458,3,990,0.715,3855,1.147,73
770874483,4,1267,0.617,4302,0.51,74
770871708,5,0,0.601,2123,0.697,56
770858283,5,2182,0.768,5371,0.824,93
770848308,2,1308,0.746,8773,0.78,105
770842833,2,1273,0.977,4777,0.457,51
770839608,6,1427,0.803,4611,0.783,82
770828358,4,0,0.596,4839,0.649,61
770824833,2,1135,0.795,16236,0.808,94
770817783,3,1679,0.623,1060,0.5,27
770800683,3,2133,1.008,4956,0.846,72
770783508,6,0,0.761,4084,0.8,72
770781558,5,2517,0.677,1914,0.348,31
770778108,4,1419,0.797,3585,0.943,68
770774133,1,1198,0.615,4826,0.667,70
770769483,3,775,0.879,1749,0.435,33
770766633,2,0,0.841,14054,0.694,105
770764908,5,2517,0.583,1765,0.565,36
770762133,2,2517,0.612,5034,0.681,79
770753733,4,1865,0.852,4854,1.024,85
770746908,5,2509,0.971,1155,0.882,32
770743983,1,874,0.708,15683,0.709,94
770740308,3,1699,0.668,4691,0.704,92
770724558,6,0,0.65,838,0.412,24
770721858,3,2517,0.346,1463,0.632,31
770717883,6,0,0.658,4592,0.811,67
770708133,5,1330,0.905,3833,1.065,64
770705208,1,630,0.807,7890,0.685,91
770667408,3,2382,0.67,4768,0.929,81
770662383,6,1158,0.501,1399,0.5,36
770647233,5,1188,0.847,2111,0.639,59
770632758,2,1608,0.587,1328,0.571,33
770596458,4,2262,0.87,2362,0.444,39
770590758,5,1069,0.581,1285,0.333,16
770581983,1,0,0.861,4885,0.63,88
770575233,6,1149,0.767,2553,0.794,61
770560683,2,2417,0.947,13021,0.625,117
770293758,6,1047,0.971,4830,0.952,82
770278833,3,1250,0.605,3924,0.783,82
770268933,3,928,0.732,4115,0.535,66
770262183,5,1741,0.816,2324,1.03,67
770241333,3,1003,1.119,2104,0.467,44
770220558,1,0,0.914,8004,0.708,82
770205708,2,0,0.697,15495,0.778,112
770190258,2,0,0.752,7678,0.691,93
770180808,3,0,0.919,5001,0.625,91
770146008,4,1502,0.648,1908,0.37,37
770135358,6,1485,0.699,4417,0.711,77
770038983,1,2517,0.77,8688,0.769,69
770024733,1,0,0.602,2520,0.531,49
769985883,6,0,0.635,3549,0.444,65
769980333,4,2152,1.424,3023,0.767,53
769974258,5,0,0.644,3830,0.673,82
769962933,4,1192,0.687,5244,0.471,75
769935783,2,2517,0.945,14213,0.786,100
769927533,4,1422,0.662,4613,0.6,72
769911858,3,2517,1.405,1171,2.333,20
769892058,4,2126,0.449,4564,0.548,65
769883733,3,0,0.412,2098,0.409,31
769756983,3,2227,1.295,2520,0.848,61
769751958,3,2018,0.618,2235,0.357,57
769732233,6,1651,0.598,1085,0.208,29
769720683,5,1884,0.791,4914,0.765,60
769709058,1,972,0.578,4228,0.465,63
769701258,3,1319,0.655,3996,0.543,71
769684158,3,1488,0.56,3763,0.875,75
769676358,1,1309,0.842,5066,0.9,76
769667583,2,0,0.796,8202,0.769,69
769662033,2,0,0.729,5025,0.735,85
769587258,4,1671,0.707,15240,0.8,126
769579608,3,1601,0.833,3795,0.75,70
769578858,4,0,0.797,4010,0.767,76
769578108,2,1652,0.523,4001,0.689,76
769577358,4,1761,0.67,4358,0.648,89
769576608,4,1010,0.869,3566,0.551,76
769575783,3,749,0.733,2644,0.483,43
769574883,3,2517,0.892,1101,0.276,37
769463433,6,0,0.682,3593,0.578,71
769448658,5,0,0.565,3492,0.683,69
769438608,3,860,0.708,2522,0.312,42
769433508,6,1819,0.767,933,0.923,25
769425858,4,0,0.81,1468,0.625,26
769411758,4,922,0.655,1518,0.625,39
769396158,2,0,0.072,5107,0.293,53
769330908,5,1555,0.583,4134,0.55,62
769323183,6,2517,0.733,2086,0.76,44
769206483,3,2101,0.597,13986,0.764,97
769200858,3,0,0.726,4626,0.792,86
769196433,4,2276,0.567,2000,0.59,62
769189083,4,639,0.768,4427,0.735,85
769183908,6,683,0.593,4321,0.812,58
769170558,6,0,0.757,1279,0.708,41
769152783,1,1811,1.043,5043,0.432,53
769145733,3,1584,0.996,2688,0.714,60
769137108,3,0,1.004,974,0.273,28
769100508,6,1472,0.787,5228,0.674,77
769095558,3,1560,0.696,1755,0.8,45
769063308,6,2323,0.671,1676,0.714,36
769053033,3,2517,0.809,2104,0.833,44
769035933,5,1316,0.646,3507,0.511,68
768972558,4,0,0.89,3980,0.75,77
768965208,5,865,0.992,3158,0.775,71
768949983,5,2495,0.805,4370,0.886,83
768928833,3,0,1.144,2717,0.703,63
768921933,3,2420,0.858,1750,0.808,47
768886533,3,1199,1.57,3246,0.9,57
768848658,2,1797,0.889,7823,0.673,87
768814983,3,1937,0.685,4284,0.809,85
768805383,5,777,1.335,1144,1.625,42
768733533,2,1612,0.696,8851,0.833,88
768728508,6,1096,0.625,14209,0.776,103
768720708,4,2327,0.784,4268,1,84
768712383,6,0,0.757,8173,1.022,91
768687183,3,1083,0.907,3017,0.71,53
768675483,5,0,0.791,4455,0.64,82
768661758,5,1752,0.742,4919,0.744,75
768655158,3,1092,0.919,2222,0.56,39
768643158,2,2459,0.691,13598,0.725,119
768638208,3,2517,0.743,4890,0.667,65
768632958,3,1091,0.904,2508,0.885,49
768624258,2,234,0.639,2541,0.385,36
768612258,3,1623,0.848,4171,0.814,78
768600558,4,1658,0.638,1071,1,28
768582033,6,1897,1.035,3902,0.689,76
768563658,4,1880,1.107,1424,1.417,29
768544833,6,1414,0.593,4531,0.54,77
768498258,3,1642,0.8,4740,0.694,83
768490458,1,2517,0.716,961,0.524,32
768475383,6,0,0.888,4007,0.542,74
768460908,3,1392,0.361,1551,0.6,32
768457008,2,787,0.739,13355,0.84,92
768420558,6,1469,0.634,3365,0.75,63
768412608,6,1258,0.96,4309,0.837,79
768390708,6,1136,0.756,4006,0.478,68
768364233,6,1885,0.643,1505,0.32,33
768256908,3,1636,0.393,1880,0.233,37
768243858,3,2517,0.84,2717,0.438,46
768212583,4,1516,0.627,1848,1.042,49
768196008,5,2158,0.844,3094,1,56
768181608,2,1767,0.829,13179,0.694,122
768167358,6,1018,0.645,4301,0.72,86
768162108,5,0,0.788,2451,0.667,50
768141558,4,1896,0.725,4220,0.897,74
767958933,3,1291,0.651,3993,0.674,77
767835558,5,2517,0.817,3536,0.769,69
767815233,6,0,0.714,4283,0.833,88
767802483,6,969,0.727,5066,0.821,71
767784708,2,504,0.582,2356,0.29,40
767753958,6,1956,0.963,1881,0.417,51
767712558,2,0,0.71,530,1,10
767695083,3,0,0.845,1590,0.37,37
767687208,6,1180,0.801,2329,0.605,69
767668908,3,1836,0.432,1552,0.185,32
767653233,6,930,1.307,3154,0.967,59
767587833,3,2512,0.739,4599,0.471,75
767574108,4,786,0.609,4094,0.561,64
767564358,6,1008,0.484,3197,0.707,70
767553333,1,0,0.809,2600,0.517,44
767523933,4,0,0.873,3938,1.091,69
767488908,4,0,0.696,4345,0.756,72
767414808,2,2092,0.794,15017,0.765,120
767404083,2,0,0.466,2355,0.621,47
767388783,3,0,0.802,4601,0.571,66
767376483,5,0,0.691,5176,0.784,91
767354208,4,0,0.602,3993,0.531,75
767348733,3,793,0.758,15865,0.667,105
767333808,5,0,0.765,4929,0.574,74
767311008,6,770,0.755,1576,0.952,41
767294658,2,0,0.885,654,0.4,14
767280633,5,1454,0.595,4378,0.548,96
767269908,6,0,1.209,2973,0.969,63
767266758,1,0,0.786,2473,0.75,49
767256933,6,598,0.967,4852,0.771,85
767243208,3,1587,1.088,4193,0.881,79
767197983,1,0,0.856,5938,0.694,83
767114958,4,2073,1.035,3250,0.591,70
767093133,2,0,0.646,4191,0.739,80
767058183,5,1333,0.667,4485,0.694,61
767049258,5,1672,0.602,1475,0.75,35
767036433,5,1152,0.94,2052,0.607,45
767023308,2,0,0.758,12847,0.738,106
767005683,6,1551,0.722,3527,0.61,66
766946058,4,1665,0.742,4010,0.786,75
766821033,6,1162,0.82,7976,1.056,74
766795983,4,0,0.756,4692,0.596,91
766769058,3,1790,0.813,15817,0.754,121
766706358,6,1395,1.048,1800,0.5,33
766673433,2,1570,0.916,4512,0.778,80
766649283,2,1917,0.653,13432,0.981,107
766628733,3,0,1.058,4965,0.805,74
766550808,3,2440,0.889,4430,0.714,72
766456683,6,2258,0.717,3986,0.6,80
766429908,6,786,1.081,1640,0.762,37
766381908,4,1263,0.71,4597,0.6,80
766322883,6,1344,0.823,2401,0.732,71
766285608,4,1900,1.568,2183,0.75,56
766273533,3,1736,0.698,15055,0.696,117
766224933,1,1769,0.771,14428,0.7,119
766131033,6,976,1.021,3163,0.818,60
766111383,4,1091,0.87,4136,0.718,67
766021083,3,546,0.619,2578,0.75,42
766006758,3,2321,0.491,1734,0.583,38
765940683,5,1747,0.503,2033,0.867,56
765847383,4,0,0.769,4425,0.696,78
765824058,3,1539,0.907,3784,0.609,74
765755283,1,745,0.714,4588,0.762,74
765731433,3,0,0.598,3512,0.617,76
765692658,4,1882,0.934,3825,0.75,70
765584208,3,2079,0.789,4444,0.909,84
765459858,4,0,0.632,2511,0.556,56
765055833,3,2229,0.643,1645,0.941,33
764776833,3,1646,0.456,1523,0.579,30
764496708,2,0,0.825,4961,0.783,82
764316708,3,2352,0.779,16423,0.758,109
764211033,6,2517,0.699,4483,0.776,87
763895958,4,0,0.858,732,0.615,21
763681908,1,924,0.86,5674,0.857,78
762775908,3,1292,0.537,4177,0.75,63
762020133,3,0,0.491,2446,0.567,47
761818758,1,1079,0.651,7206,0.536,86
761544333,4,2517,0.992,1641,0.882,32
761240358,5,1219,0.805,4295,0.791,77
761079783,5,442,0.609,7720,0.558,67
760807608,5,1680,0.791,4751,0.804,83
760104333,6,0,0.821,3246,0.703,63
759947433,1,0,0.819,4812,0.653,81
759823158,4,2324,0.423,1557,0.4,49
759584958,4,2418,0.923,10156,0.946,72
759127158,3,0,0.767,4177,0.771,85
758965158,4,1729,0.843,4396,0.566,83
758875908,4,1811,0.69,4699,0.841,81
758863383,1,948,0.999,13090,0.625,104
758833758,4,845,0.604,3520,0.889,68
758824608,5,1746,0.853,3370,0.769,69
758802333,3,1213,0.717,14641,0.773,117
758787333,4,2404,0.734,3880,0.478,68
758765808,6,1190,0.628,1802,0.481,40
758753283,1,550,0.674,7341,0.732,71
758653833,3,0,0.922,4392,0.766,83
758642733,5,1054,0.963,5163,0.973,73
758617233,3,1559,0.827,14781,0.688,108
758583708,2,2460,1.029,1406,0.077,28
758551608,4,2204,0.803,1347,0.556,28
758521983,3,1200,0.602,2198,0.538,40
758426583,3,1031,0.582,3308,0.674,72
758417508,6,0,0.822,3313,0.756,72
758408883,5,1631,1.113,1921,0.85,37
758382183,2,789,0.925,8186,0.722,93
758367933,5,0,0.587,4435,0.881,79
758348808,4,1666,0.613,1218,0.8,18
758340108,3,913,0.568,3906,0.592,78
758331483,2,984,0.913,15347,0.787,109
758317233,4,1575,0.625,2121,0.579,60
758211483,1,2314,0.84,8778,0.604,85
758202858,4,1681,0.65,3453,0.5,72
758186433,3,1095,0.941,5038,0.75,84
758178558,3,1555,0.932,4127,0.648,89
758168133,2,1060,0.544,4325,0.72,86
758106108,3,1758,0.613,4604,0.707,70
758086458,3,0,0.646,4111,0.55,62
758076408,2,1603,0.579,1590,1.263,43
757881258,6,2092,0.604,2565,0.865,69
757863258,2,887,0.604,7480,0.787,84
757854858,4,0,0.764,2297,0.321,37
757837458,4,663,0.674,4065,0.646,79
757786608,2,2463,0.815,16216,0.814,107
757761033,5,1560,0.634,4673,0.698,73
757753083,5,1229,0.65,4063,0.48,74
757722708,1,0,0.887,4246,0.804,83
757710783,4,0,0.721,2516,0.575,63
757685733,1,2145,0.644,5066,0.786,75
757675158,2,1851,0.687,4904,0.7,85
757667133,2,0,1.058,4738,0.395,53
757662258,3,1480,0.826,5138,0.974,77
757643733,6,0,0.593,4916,0.717,79
757634583,4,1127,0.814,4456,0.789,68
757594083,2,0,0.616,4530,0.762,74
757527033,3,0,0.766,4628,0.971,69
757481283,4,2159,0.895,1931,0.75,35
757300008,4,2344,0.788,4251,1.051,80
757291008,3,289,0.95,8964,1.054,76
757266933,4,929,0.773,2431,0.484,46
757256358,1,1580,1.075,15710,0.743,122
757247808,2,2517,0.937,9495,0.605,61
757224108,6,1117,0.826,3929,0.595,67
757194408,2,0,0.539,1707,1.111,38
757167633,4,642,0.815,3836,0.723,81
